,id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
count,5553.0,5553.0,5553.0,5553.0,5553.0,5553.0,5553.0,5553.0,5553.0,5553.0
mean,82676298.06897172,6.501350621285791,1731.3473523409086,287.9365916111104,231.11743868383223,58.069126755029224,0.4763719065867945,0.13902395101746803,2.0558256798127137,1.0878804249954979
std,94512868.86278562,2.8680215353233653,1468.712784651249,245.7771944806308,605.7633873314492,62.421536500694046,0.13196699052298447,0.4420025635411699,1.157506982013946,0.36486406231655144
min,971488.0,1.0,5.115685555504326,5.115685555504326,0.5925375460510254,3.376030236576426,0.021909478788651945,0.0,1.0,1.0
25%,62338348.0,4.0,816.4069447063596,144.00233616736332,26.61412086009207,23.16830313441459,0.39130491515145643,0.0,1.0,1.0
50%,62342142.0,6.0,1299.1915308073708,224.34827135586173,94.89769686464902,42.63411680580488,0.5061208480314072,0.0,2.0,1.0
75%,62348601.0,8.0,2157.99399959979,359.7275168553246,223.55968446364182,68.13592999607842,0.5845859725682814,0.0,2.0,1.0
max,867468196.0,30.0,23919.528130464812,4183.558195567411,17880.5988621251,1296.8063344792045,0.9924194663054967,5.0,7.0,6.0
