,id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
count,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0
mean,392.26159793814435,4.634020618556701,4291.079837092727,885.6331226168712,2801.800392131564,164.87032177733235,0.4959762391387653,1.2345360824742269,2.7963917525773194,1.7615979381443299
std,228.02321866952724,2.4107452617383034,4373.826334653442,745.2438270451472,5856.417818609683,153.68600032212518,0.13804043761826193,1.3243693242760766,1.8719766668339117,1.0203703429869746
min,0.0,1.0,0.031177995767147113,0.031177995767147113,0.5922650961708381,3.0690590065935166,0.10286002184628343,0.0,1.0,1.0
25%,194.75,3.0,1295.1688354675646,370.70143990752905,105.50397112517257,42.43670311564006,0.4084537498803763,0.0,1.0,1.0
50%,389.5,4.0,2662.443083699147,672.8703307020668,788.1108860459556,126.99157628613273,0.5238088323576637,1.0,2.0,1.0
75%,590.25,6.0,5807.416015147807,1218.990872769031,3106.9216328189323,245.0637273309382,0.6042576377310208,2.0,4.0,2.0
max,788.0,17.0,26466.705840630577,5926.4171750618625,92042.8475141531,1203.1908752369754,0.9861488192665421,5.0,7.0,6.0
