id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
521,5,440.10291580879647,88.02058316175929,0.5922650961708381,3.0690590065935166,0.619226862691033,0,1,1
548,1,11.246004661936217,11.246004661936217,0.6764770015760436,3.6499880138050154,0.42648814216735553,0,1,1
420,4,1251.7244915325714,312.93112288314285,0.8707590331451387,3.7180293229327304,0.6332859734160604,0,1,1
376,3,1442.1005188236272,480.7001729412091,0.8916231468483289,3.9030032825575858,0.5542059723969422,0,1,1
691,4,515.3795517957647,128.84488794894116,1.403890002943504,4.738808557942012,0.6239626410226168,0,1,1
15,4,503.19365559457316,125.79841389864329,1.724251958419637,5.33499735002952,0.5904181472166564,0,1,1
269,4,536.3078360148314,134.07695900370786,1.8026519639621101,5.368829603259556,0.6314352078465854,0,1,1
21,3,651.8312591922197,217.27708639740658,1.82205315732725,5.483157996339802,0.5957644046038896,0,1,1
6,4,896.7612125258654,224.19030313146635,1.9874539889514125,5.632407885600087,0.6371680605598552,0,1,1
8,3,1044.5851561755733,348.1950520585244,2.008303423457877,5.66932031166644,0.6235903354428479,0,1,1
7,5,1035.4046199312736,207.08092398625473,2.0312434886034736,5.698252971292406,0.6197651500221174,0,1,1
169,4,1052.7300119106797,263.1825029776699,2.0413264048260307,5.870893663527481,0.4526634860518929,0,1,1
170,4,905.0949841959778,226.27374604899444,2.057571799028215,5.693438325601469,0.6263709124872848,0,1,1
446,8,690.9981577129299,86.37476971411624,2.106887231496117,5.957016444875606,0.5626190742613727,0,1,1
72,3,1517.9959512693777,505.99865042312587,2.398425064942491,6.686953247953636,0.47266319265447015,1,1,1
445,7,707.7454600890542,101.10649429843632,2.4749826195341647,6.2872122446499965,0.6292312726471218,0,1,1
500,3,858.2880317545626,286.0960105848542,2.6913590324629486,6.690432840151166,0.5867446191480438,0,1,1
526,3,842.0112162976751,280.67040543255837,2.737695624314305,7.375215697624864,0.42674613975701453,0,1,1
520,6,811.5752270520766,135.26253784201276,2.8791390015164118,7.5193445407762916,0.4237771147460028,0,1,1
532,3,843.2496395436091,281.083213181203,2.885215406545322,7.488540838785094,0.44214127937732217,0,1,1
414,5,1808.6250035803869,361.7250007160774,2.8862701279403584,6.884661222391885,0.5871212599058786,0,1,1
491,1,1135.5550560520562,1135.5550560520562,2.9144149831866306,6.8116260446914865,0.638261340615734,2,1,1
523,7,883.1332049354165,126.16188641934522,2.9186943935810707,7.448071347488324,0.4558861331167948,0,1,1
527,4,868.4463736602555,217.11159341506388,2.919013148470761,7.510718461344837,0.4473696673882475,0,1,1
518,6,584.8499587044316,97.47499311740528,2.944315016241344,6.846776506084838,0.640772072187986,0,1,1
177,4,1552.4764545018302,388.11911362545754,3.01721335111458,7.8866883085609665,0.40028908792345885,0,1,1
536,3,732.4201074348184,244.14003581160614,3.115807685878757,7.046839239762814,0.6260329591281388,0,1,1
164,4,476.3766624279332,119.0941656069833,3.1842310005587375,7.211378010572573,0.5807279831791895,0,1,1
672,2,1436.583849587885,718.2919247939425,3.2079167713603898,7.322488083205847,0.5812460937264702,1,1,1
639,1,215.60293769183946,215.60293769183946,3.58582285947717,8.38742721751494,0.4359217336858951,0,1,1
678,3,1727.7388306810712,575.9129435603571,3.631349272059825,7.8207236443485835,0.5739865236178957,1,1,1
456,3,1527.689583539032,509.2298611796773,3.735995621852575,8.875863327493473,0.3873240565511427,1,1,1
102,4,1672.6205686926783,418.15514217316957,4.019886939356817,8.016716079587606,0.614085959253624,0,1,1
594,3,1610.1379707461394,536.7126569153799,4.273856849988121,9.121782817896614,0.43120605271616674,1,1,1
604,3,1096.5008139454492,365.50027131514975,4.383294359494865,8.685637664743055,0.5242070028503782,0,1,1
634,1,9.518949284397022,9.518949284397022,4.609662978647878,9.655394865612632,0.4142710515776464,0,1,1
718,4,1268.2530553505837,317.06326383764593,4.8554626570872275,8.873932868177706,0.6032957117443227,0,1,1
633,1,9.518949284397022,9.518949284397022,4.909286305749144,10.054767747498097,0.403105925782576,0,1,1
629,1,119.46300832861276,119.46300832861276,5.118207943057865,10.044855179036833,0.4335110706990939,0,1,1
271,5,815.4341429620205,163.0868285924041,5.3989755224039175,9.277906613415086,0.6389607907557929,0,1,1
682,4,735.0356416068938,183.75891040172345,5.771384628692932,9.622985321615428,0.6239327396892346,0,1,1
211,2,1124.0262414691967,562.0131207345984,5.8027384081163955,10.961711345451773,0.39715764052231745,1,1,1
166,3,974.4894367121464,324.8298122373821,6.296888376024898,8.979441573732322,0.9546483283225909,0,1,1
766,6,1094.9304055476757,182.48840092461262,6.597213053838858,10.879768096649672,0.5092310257100149,0,1,1
449,5,1655.5158684545356,331.1031736909071,6.689688125358727,10.446004745497008,0.6114388136281036,0,1,1
248,3,1084.9207694783945,361.6402564927982,6.888141766844692,9.820255759579526,0.7968828282242733,0,1,1
515,2,1371.70685665925,685.853428329625,7.378160063965872,10.848323526530805,0.6359619272387999,1,1,1
522,3,418.0175493007696,139.33918310025652,7.398981038624373,10.863884789372252,0.630591476486552,0,1,1
371,5,1700.2706417997022,340.0541283599404,7.618032014157495,11.460533817721174,0.5419333850145445,0,1,1
381,5,1339.3026441406607,267.86052882813215,7.868655870907877,11.34943172040854,0.601439876336758,0,1,1
562,5,893.9222859267281,178.78445718534562,8.627278914713434,11.865252463603102,0.6039016643439686,0,1,1
494,6,1229.7964053800983,204.96606756334972,8.738783248481363,12.196147288936245,0.5619941509365151,0,1,1
774,5,1695.189492122187,339.0378984244374,9.725774500926825,12.645830913331404,0.5990797650844749,0,1,1
