,id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
count,12344.0,12344.0,12344.0,12344.0,12344.0,12344.0,12344.0,12344.0,12344.0,12344.0
mean,6280.355557355801,4.876377187297472,2621.23833237118,541.4915133103439,1340.652722790408,105.12029173491554,0.501699636487245,0.602802981205444,1.5214679196370706,1.3463220998055736
std,3619.639995075857,2.422238772259755,3014.95772450305,519.9284961599179,8181.67555550788,116.49640450605993,0.13290408499491424,0.9937642006361653,0.9782662526939493,0.7286051830079734
min,0.0,1.0,0.002386181507731261,0.002386181507731261,0.8553187953196809,4.1207051051238,0.05819699480771089,0.0,1.0,1.0
25%,3152.75,3.0,880.8647284456988,206.15049003372525,84.91258812011132,37.89837377525751,0.4229164189903991,0.0,1.0,1.0
50%,6267.5,5.0,1591.5745696060544,362.4635847832931,218.1050277670892,62.48845262728548,0.5320451399765136,0.0,1.0,1.0
75%,9401.25,6.0,3092.579168668988,688.7803667591971,883.8248106100407,134.93684572751584,0.6000811513674359,1.0,2.0,1.0
max,12549.0,26.0,55219.28616623958,5191.023526036237,785282.9184072902,3609.5634784829745,0.9889392284087596,5.0,7.0,6.0
