id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
7660,2,308.6087224737934,154.3043612368967,0.8553187953196809,4.1207051051238,0.4148571234755321,0,1,1
3785,3,1980.312776895597,660.1042589651989,1.062882445225601,4.245932614758361,0.5614555201966114,1,1,1
7667,5,375.40516626447913,75.08103325289582,1.1811842346583408,4.4855218429197015,0.5479448947524654,0,1,1
8117,4,1060.4383160955174,265.10957902387935,1.2633349756126133,4.4794346058961585,0.6291574999029109,0,1,1
10776,5,196.91603008710712,39.38320601742142,1.5792305494637908,5.058298791913289,0.5616326936475278,0,1,1
1029,4,1174.6973757897304,293.6743439474326,1.6492871695196425,5.251239645439949,0.5675084156983119,0,1,1
6632,1,605.2306336467633,605.2306336467633,1.7238866580706906,5.301206634942405,0.5861825699646328,1,1,1
6838,5,770.1192906909752,154.02385813819504,1.724251958419637,5.33499735002952,0.5904181472166564,0,1,1
1750,2,939.9547861875653,469.97739309378267,1.7638141459252732,5.735728513441422,0.47179152444129663,0,1,1
8698,4,536.3078360148313,134.07695900370783,1.8026519639621101,5.368829603259556,0.6314352078465854,0,1,1
6899,3,651.8312591922197,217.27708639740658,1.82205315732725,5.483157996339802,0.5957644046038896,0,1,1
3642,4,757.8910945213898,189.47277363034746,1.9639858955234313,5.916016647690319,0.5108025550753241,0,1,1
6843,4,896.7612125258654,224.19030313146635,1.9874539889514125,5.632407885600087,0.6371680605598552,0,1,1
6871,3,1044.5851561755733,348.1950520585244,2.008303423457877,5.66932031166644,0.6235903354428479,0,1,1
6864,5,1035.4046199312736,207.08092398625473,2.0312434886034736,5.698252971292406,0.6197651500221174,0,1,1
6683,3,935.3301253727552,311.7767084575851,2.0365052425284262,5.733780247747055,0.6099449796518368,0,1,1
2044,2,1297.009296499016,648.504648249508,2.4000873134340086,6.3676867710926315,0.562021729375313,1,1,1
7797,4,978.7577926172239,244.68944815430598,2.4139211437384938,6.297756941474569,0.5891174355244824,0,1,1
2424,9,1091.6519280386522,121.29465867096135,2.4153056315807833,6.3630174879617,0.5681233019426513,0,1,1
7746,2,846.1140008631428,423.0570004315714,2.453188672596892,6.873695036599398,0.4381730026806595,0,1,1
10152,4,590.9898596932469,147.74746492331172,2.468659776309383,8.393040622268892,0.24276743637469897,0,1,1
7780,5,1094.9785067589696,218.9957013517939,2.4716557752001465,6.414430448339553,0.5799454124896133,0,1,1
8978,2,652.2035525837368,326.1017762918684,2.5128704770259502,6.327809098934023,0.6143453720916761,0,1,1
5300,6,591.6355697684742,98.6059282947457,2.538866232758197,6.706875716955893,0.5137151666899359,0,1,1
7668,5,523.1296953551883,104.62593907103766,2.543202611479222,6.51007144729874,0.5153050388935041,0,1,1
7779,3,817.5461507895803,272.51538359652676,2.5714584193245544,7.043526894226368,0.42845688555453004,0,1,1
1028,2,698.8562676850884,349.4281338425442,2.6070723911755653,7.437156683825793,0.3320898740783513,0,1,1
3204,1,394.41591586985453,394.41591586985453,2.724333456587753,6.883475717122219,0.5279462930852115,0,1,1
6446,4,1014.5386428842866,253.63466072107164,2.731888057446081,7.171432440723013,0.4177089796325926,0,1,1
6927,1,239.86445197063895,239.86445197063895,3.274484951154466,7.2325727506814745,0.6138335022568805,0,1,1
8364,2,627.6937473040812,313.8468736520406,3.3043319160121025,7.264984401272591,0.6357371343349142,0,1,1
6363,4,823.9293447795914,205.98233619489784,3.306523517900176,7.2607130283761405,0.6382848084645462,0,1,1
1115,1,309.3935653825629,309.3935653825629,3.3533016082019427,8.696054576377309,0.3478263242570462,0,1,1
800,1,217.2550740629327,217.2550740629327,3.40761870645479,7.524657819271779,0.5868326110670462,0,1,1
4344,3,990.0989178098027,330.0329726032676,3.4348187104541252,8.262324462461363,0.4252806427429887,0,1,1
3338,2,2680.8063172891607,1340.4031586445803,3.5224229243241947,7.858979968813475,0.5299919186695634,2,1,1
8944,4,339.033186198483,84.75829654962075,3.660791658166281,8.776872976340844,0.37596324791284375,0,1,1
4956,2,103.48395603082064,51.74197801541032,3.716485539985778,8.553729122689052,0.43287500051069505,0,1,1
7176,3,290.35967217686266,96.78655739228755,3.7302796194878,8.310749990033042,0.48143238654232384,0,1,1
9017,4,846.2470200049693,211.56175500124232,3.750822820253063,7.8350969997676625,0.6042390367473657,0,1,1
4974,6,946.0581916854517,157.6763652809086,3.7572133969954935,7.788093237141722,0.61940626528883,0,1,1
7617,2,1427.445282775337,713.7226413876685,3.7904031634050535,7.360784622659235,0.7653137097089026,1,1,1
9037,5,526.600995665754,105.3201991331508,3.799938124250964,8.427682270997192,0.460281552086758,0,1,1
10081,1,43.772155930249355,43.772155930249355,3.800992111462593,7.054762530224409,0.9188170160962303,0,1,1
7407,3,328.7801438500918,109.59338128336394,3.8530255963452125,7.907803254452768,0.5776935700329815,0,1,1
4832,5,321.93492589276013,64.38698517855202,3.9362582779732547,8.06921218429452,0.5660329211427764,0,1,1
3769,5,1445.5584304274664,289.11168608549326,3.955219689881722,7.982740591961325,0.6138060436693655,0,1,1
7661,2,101.63632758622406,50.81816379311203,4.020429710989667,9.622623904667291,0.31306250363021576,0,1,1
7420,4,359.3383393704464,89.8345848426116,4.089985580225737,8.176839431307021,0.5824040629390816,0,1,1
7412,4,358.28993733124685,89.57248433281171,4.089993425605087,8.176847638652932,0.5824048228702016,0,1,1
10736,2,104.68153054853708,52.34076527426854,4.097391420687652,8.086159272968468,0.6182185445771154,0,1,1
7160,2,357.2544512061025,178.62722560305124,4.124709093775459,9.291345320295362,0.3727668678052973,0,1,1
11142,4,639.9448791561804,159.9862197890451,4.185050986796702,8.248047784980312,0.6087486280041464,0,1,1
10996,8,564.9693732367092,70.62117165458865,4.2169703123449045,8.417854416494913,0.5663527009353815,0,1,1
402,2,228.78609018463723,114.39304509231862,4.2600042292268165,8.287095289430825,0.604097096745578,0,1,1
5059,3,836.2428113667345,278.7476037889115,4.265575650818483,8.302998318549692,0.6135578169839107,0,1,1
12101,3,921.0140379231791,307.00467930772635,4.294287899979729,8.537887166002879,0.5628529967800104,0,1,1
7524,4,1295.1861074040896,323.7965268510224,4.294714333898269,7.53030947662829,0.9023266377464314,0,1,1
6243,4,800.8800965353648,200.2200241338412,4.297827260936997,8.455821958102112,0.5549171140696617,0,1,1
8353,3,1620.7448802208762,540.2482934069587,4.336013154209709,7.568544592370055,0.8983090752857874,1,1,1
5062,3,1545.8812292849425,515.2937430949809,4.377537475736993,9.958031277400808,0.3409354276001481,1,1,1
9355,3,1160.2239977845131,386.74133259483773,4.378255623807561,7.531443104409974,0.9270418797385365,0,1,1
7446,4,1092.3675767571801,273.09189418929503,4.391794331188414,7.61622608727449,0.8987280809541393,0,1,1
2377,5,1041.1094709420067,208.22189418840134,4.393958394819528,9.038867355810156,0.4790062593285088,0,1,1
288,4,449.77529655046385,112.44382413761596,4.413909187775062,8.390715987551605,0.6201737811371322,0,1,1
4215,4,1125.4128698810505,281.3532174702626,4.426134269794595,8.411484578865965,0.6019963890715304,0,1,1
4610,5,1251.5019373934738,250.30038747869474,4.441328994313371,10.638690430338379,0.2893955589776618,0,1,1
10681,6,410.56816814732656,68.42802802455442,4.46560044754931,8.620352404627146,0.5776864107351849,0,1,1
