,id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
count,5155.0,5155.0,5155.0,5155.0,5155.0,5155.0,5155.0,5155.0,5155.0,5155.0
mean,85552720.6112512,5.209311348205626,2233.363146062143,421.3241378532823,266.5897688486583,70.98185649945299,0.4780713635369854,0.30746847720659554,2.415712900096993,1.0812803103782735
std,61665601.37652034,2.1592206486873717,1655.3238491575219,248.38738880541788,527.1268733867956,71.34511846747974,0.12113836484697886,0.5469182834530512,1.0679410607582347,0.37088017627210873
min,238818.0,1.0,0.18068351854190384,0.18068351854190384,0.41806293862525,2.6096790811988058,0.03102615523375309,0.0,1.0,1.0
25%,62279911.0,4.0,1100.5804114274656,266.36296990281124,82.20196115338433,40.8379754630063,0.4071761799778695,0.0,2.0,1.0
50%,82256305.0,5.0,1894.9984325740427,386.70614467786476,180.1351361580631,61.02551928119868,0.5048488461337308,0.0,2.0,1.0
75%,83999292.5,7.0,2948.328074540128,519.6527504694899,303.0535810714795,84.37773929694555,0.5707599802636163,1.0,3.0,1.0
max,862088827.0,20.0,21009.053288422092,4245.308266359351,17662.25327643887,2897.179977025727,0.9707318626148752,5.0,7.0,6.0
