,id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
count,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0
mean,143.07116104868913,2.9962546816479403,4938.599647425078,1711.8597549180374,8830.331874852473,335.16141194864844,0.4783491822269597,2.5692883895131087,4.213483146067416,2.8202247191011236
std,81.51667682921376,1.431383282111031,3707.188367361601,1161.816348645506,25737.10490215449,252.04428511378126,0.12782029913794885,1.6650635752883154,1.920243817415877,1.4080472086519984
min,2.0,1.0,42.64791302859066,42.64791302859066,4.307379689965724,7.962403196498704,0.24356413441891975,0.0,1.0,1.0
25%,72.5,2.0,2225.988066445665,898.903188979763,1736.9462887023687,172.28907523453253,0.37582493401591105,1.0,3.0,2.0
50%,141.0,3.0,3871.3398605300445,1439.8840085728727,4795.2603315538345,277.0282843111977,0.4960195640949964,2.0,4.0,2.0
75%,214.5,4.0,7100.5691395432295,2287.9512547902455,10611.823582545852,468.2330021766238,0.5893563202144025,4.0,6.0,4.0
max,282.0,14.0,26889.47659609074,5883.276795240483,358593.85506224487,2413.3081978035525,0.8337954278320049,5.0,7.0,6.0
