,id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
count,1298.0,1298.0,1298.0,1298.0,1298.0,1298.0,1298.0,1298.0,1298.0,1298.0
mean,654.3882896764253,5.47457627118644,3479.5180263349107,627.0535851133735,1646.041121295675,115.98159966452299,0.49998657961496956,0.7434514637904468,2.1224961479198767,1.423728813559322
std,377.32773038256,2.5857179972410163,3419.1945284520807,469.07291474685,4350.544002199142,126.59688173302402,0.12348447648388455,0.9657070377909791,1.6026970119186303,0.850846171654942
min,1.0,1.0,6.635947720549348,6.635947720549348,1.062882445225601,4.245932614758361,0.09392456168366987,0.0,1.0,1.0
25%,328.25,4.0,1398.933267072,305.9911590655399,83.6374960679974,38.092802432580385,0.42905301288838127,0.0,1.0,1.0
50%,653.5,5.0,2336.8019801655237,497.7482779637262,260.7846187451878,67.61617222396993,0.5208851868662101,0.0,1.0,1.0
75%,980.75,7.0,4110.389697794944,788.8489465601851,1118.561994924169,149.070342952758,0.5943356675958075,1.0,3.0,2.0
max,1307.0,19.0,28461.371967483017,3502.8540450483433,81812.40473982034,1170.831060780576,0.9705467588735638,5.0,7.0,6.0
