,id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
count,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
mean,142.07063197026022,3.8215613382899627,7594.872998646646,1944.7575046260908,8768.093267039189,333.15743671884184,0.48024203613161986,3.0,4.193308550185874,2.806691449814126
std,82.03393132132555,1.6789243894128665,5613.684270531317,1120.9765804258795,25651.039802417792,252.21171957244476,0.12935661958077566,1.6138394009133308,1.9277509471254424,1.4115038494910714
min,2.0,1.0,29.758357988695508,29.758357988695508,4.307379689965724,7.962403196498704,0.24356413441891975,0.0,1.0,1.0
25%,71.0,3.0,3210.7782658855813,1132.2532079097182,1716.9076170904495,169.1213970376801,0.37624123508193624,2.0,3.0,2.0
50%,140.0,4.0,6112.652081157696,1742.6674809417473,4743.917482878872,276.3895352576846,0.4974057624361705,3.0,4.0,2.0
75%,214.0,5.0,11108.515112806599,2585.926530058296,10594.321287895309,467.2043175377588,0.5903595075431798,5.0,6.0,4.0
max,282.0,16.0,44039.80159984511,6254.731913584395,358593.85506224487,2413.3081978035525,0.8337954278320049,5.0,7.0,6.0
