id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
267,5,468.4753685899399,93.69507371798798,4.307379689965724,7.962403196498704,0.6033662933914327,0,1,1
260,5,720.8447304570857,144.16894609141713,10.36895942977094,11.644633727631152,0.8337954278320049,0,1,1
6,1,29.758357988695508,29.758357988695508,13.007171564095371,13.366602319534971,0.8032848223924708,0,1,1
268,5,557.4626522100241,111.49253044200482,23.27196039288018,24.34814882358409,0.24356413441891975,0,1,1
240,3,2983.9118028400603,994.6372676133534,23.780850748420708,21.317016836674966,0.4578689576266248,1,1,1
58,4,2719.290825715758,679.8227064289395,34.05135327938661,23.413306848780245,0.6279645046781733,1,1,1
210,2,1761.4494333622285,880.7247166811143,64.74926929501736,41.81312877369273,0.2678272115612675,1,1,1
266,5,1991.05245721041,398.210491442082,70.53644166949911,35.44757931629916,0.5170742919906806,0,1,1
235,2,1155.2369240351773,577.6184620175886,79.77609425600583,37.81196550407845,0.5113984568540146,1,1,1
2,1,338.9177421033532,338.9177421033532,90.3266649720109,34.9962171472063,0.6607710158420111,0,1,1
162,2,783.0642325055898,391.5321162527949,119.15662700260307,43.68443301383444,0.6347588926207933,0,1,1
272,4,1541.3057704939397,385.3264426234849,128.1234344715486,57.06020587647273,0.29226080003564986,0,1,1
257,3,2329.9900202932176,776.6633400977393,142.77488982528962,49.12023836668229,0.5716400199672758,1,1,1
265,4,1629.9562860823237,407.4890715205809,170.14787324442952,58.22689057648053,0.42683860633200105,0,1,1
3,2,2742.028439238592,1371.014219619296,184.27536476258942,58.06237965420253,0.49263929361251196,2,1,1
261,6,2791.681851030205,465.28030850503416,200.78094567348606,67.63499523706743,0.3364681793049781,0,1,1
13,2,1532.4054644523985,766.2027322261993,218.0709151638742,74.05534176002931,0.2961447435231676,1,1,1
126,4,1351.1244399926254,337.78110999815635,224.42018935420006,61.37470477137007,0.5268069014060964,0,1,1
44,5,2782.8917968464802,556.5783593692961,236.40883084487163,59.87470196931647,0.6481540305028396,1,1,1
42,4,3095.2125230332226,773.8031307583057,242.76671648561867,60.633479843880494,0.6502817282306607,1,1,1
212,3,1385.6013108747995,461.8671036249332,288.94872829989845,68.39262468497033,0.6216635738980484,0,1,1
262,4,4255.417631486785,1063.8544078716961,311.8472731929148,77.9654915982482,0.44299492401407414,2,1,1
39,3,3540.941718041785,1180.3139060139283,343.0259034064981,76.46209635105667,0.562879460485354,2,1,1
37,2,2977.2017556184724,1488.6008778092362,443.69571677091653,89.38693980618886,0.5065195010693908,2,2,1
40,3,2526.583098356542,842.1943661188474,468.4326725850336,86.60243616882238,0.6354105147188058,1,2,1
15,3,3412.297556287715,1137.4325187625716,525.612806449855,89.71676722791345,0.5947702718927758,2,2,1
198,2,514.2503612681529,257.12518063407646,531.8057504403278,85.96972264243139,0.6018588031323058,0,2,1
78,3,3894.8548235105836,1298.2849411701945,548.4490717999469,96.2019622965416,0.571981243211493,2,2,1
75,4,4251.233277253119,1062.8083193132798,559.246008943548,97.12372098783993,0.5726240213536546,2,2,1
156,2,2652.3059883728156,1326.1529941864078,574.7938712289225,96.07411627102242,0.6276763726864893,2,2,1
127,2,1876.7354453493622,938.3677226746811,598.7184783476335,99.53539471878129,0.59405647461594,1,2,1
271,3,4304.654515101257,1434.8848383670856,617.5955071830307,98.50811148404495,0.5880769863635319,2,2,1
41,2,2392.3061970685485,1196.1530985342742,619.6098077279863,109.23136020476089,0.4417213025778962,2,2,1
273,3,4746.15826607829,1582.05275535943,621.5978191440977,112.68687388111157,0.3855791991122451,3,2,1
110,1,1705.4858718148932,1705.4858718148932,637.2940545082299,110.79552779324355,0.4520756132193043,3,2,1
20,1,1360.9828929373741,1360.9828929373741,685.5411205807783,105.88228584670087,0.6094572213185906,2,2,1
47,2,4279.006012610273,2139.5030063051363,689.5754019107713,104.72251414423972,0.5921413922596175,4,2,1
43,3,2907.8525566105454,969.2841855368484,692.3419494586003,106.3754490079686,0.6101932494493469,1,2,1
32,2,2250.676795624368,1125.338397812184,692.6974381727634,106.3346824164183,0.6116791900180717,2,2,1
196,1,412.8644611451747,412.8644611451747,718.9439524300982,100.22912126420144,0.7766999050312273,0,2,1
202,1,1656.6542451443943,1656.6542451443943,734.1466105094846,108.44794416110393,0.6322576570254397,3,2,1
190,2,2685.2710407907216,1342.6355203953608,793.3265149700756,112.67265667707179,0.6341844167019596,2,2,1
21,2,2917.193901848027,1458.5969509240135,878.9278372305961,148.9147436755603,0.29550953830879334,2,2,2
113,2,3114.0595221568537,1557.0297610784269,904.8500877305087,133.339701626357,0.431905701434023,3,2,1
11,1,47.06473182865065,47.06473182865065,905.4710763676128,117.8868847597824,0.6625912424150423,0,2,1
89,4,3039.402800412496,759.850700103124,931.1743698193277,121.00041527733843,0.635437578848484,1,2,1
229,3,4943.473357842848,1647.8244526142826,977.5772739413011,125.12283954060405,0.5697168602135761,3,2,1
166,3,5330.013982142014,1776.6713273806715,1014.4133535241554,123.23668217085401,0.684457553542939,3,2,1
165,4,4365.983757778441,1091.4959394446103,1030.687838663448,141.27579730923674,0.4156841183495689,2,2,2
57,4,4388.155245576563,1097.0388113941408,1040.8518750405942,128.14817910066083,0.5917633149375315,2,2,1
24,3,1500.734224647104,500.24474154903464,1090.3962701003638,132.48268841841687,0.5720960806884575,1,2,1
263,4,2565.507317794735,641.3768294486838,1095.544837657675,131.6845602381737,0.5697712333802278,1,2,1
225,4,7219.49298960355,1804.8732474008875,1102.2982176501284,135.37062352194732,0.588644255245934,3,2,1
221,1,1224.246859736712,1224.246859736712,1141.3406113283036,136.0332641149329,0.5354471972659505,2,2,1
201,1,1199.608246408845,1199.608246408845,1177.209158765809,140.4726487845083,0.5243896328872095,2,2,2
185,2,2332.744517757921,1166.3722588789606,1218.7152021885547,161.8389038184229,0.37624123508193624,2,2,2
4,2,2089.8669757506104,1044.9334878753052,1251.051112156787,146.03386026909382,0.561302507886026,2,2,2
116,3,4371.469337454075,1457.1564458180248,1303.2045943322996,162.59909118843726,0.413127908567022,2,2,2
111,3,4623.106155422618,1541.0353851408727,1303.4639967511048,162.6040450370834,0.4132269763569793,3,2,2
