,id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
count,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
mean,142.6679389312977,2.5343511450381677,2864.1342594900716,1182.984948161497,8919.96154742732,336.66682861042597,0.47623120975751754,1.8015267175572518,4.2251908396946565,2.83206106870229
std,82.06385026230278,1.2053374906071128,2143.431889846293,797.3277418235349,25973.009014748313,253.96015751967246,0.12715637842230063,1.4773894721907768,1.933485666271726,1.4150405637375234
min,2.0,1.0,24.705392556759037,24.705392556759037,4.307379689965724,7.962403196498704,0.24356413441891975,0.0,1.0,1.0
25%,71.25,2.0,1279.3940203048999,599.8786666024042,1729.504854814012,171.37638205484478,0.3643772665242681,1.0,3.0,2.0
50%,140.5,2.0,2391.040196138296,997.9636700177109,4816.1238229011515,277.66713356488845,0.49596853464461554,1.5,4.0,2.0
75%,215.75,3.0,4244.9895655800665,1606.0188806695796,10665.087252589796,470.03195948790665,0.5886364053251963,3.0,6.0,4.0
max,282.0,8.0,14606.888655174305,4088.65871390179,358593.85506224487,2413.3081978035525,0.8337954278320049,5.0,7.0,6.0
