,id,k,w,w/k,area,perimeter,form_factor,neigh_watch_sharp,area_sharp,perimeter_sharp
count,5491.0,5491.0,5491.0,5491.0,5491.0,5491.0,5491.0,5491.0,5491.0,5491.0
mean,101667969.17264615,5.864869786924057,2009.3652856883734,350.71821674779284,259.79696019337064,61.1846674253666,0.47481312570887335,0.21107266435986158,2.045164815152067,1.0956109998178838
std,114103113.84819666,2.8165440650362656,1880.3869387526363,296.26259376458233,819.1270943312354,63.952661455329576,0.13432968535903234,0.4999757338386434,1.156969781690692,0.37177372936531583
min,299345.0,1.0,0.021743281802275468,0.021743281802275468,0.561888925886517,3.0062531993862613,0.01746818409888267,0.0,1.0,1.0
25%,62308698.5,4.0,854.3596997602115,184.9189110576533,20.986582723108157,20.972681747358347,0.3863258555105487,0.0,1.0,1.0
50%,84590482.0,6.0,1521.9394416058587,300.9164288847189,118.93043325699321,47.74518047120935,0.5020649672300741,0.0,2.0,1.0
75%,85000145.5,7.0,2554.6067974636794,438.7049246730628,260.17744261772623,73.37317830973858,0.5879365850164785,0.0,3.0,1.0
max,849601277.0,28.0,35353.254502369215,7889.098534458943,38704.59719402693,1134.6322959655072,0.9861237199947047,5.0,7.0,6.0
